,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
6453,0,1,1,0,0.647887323943662,1,1,0,0,1,0,1,1,1,0.8139303482587064,0.559918070620817,0,1,0,1,0,0,0,0,1,0
1427,0,1,0,0,0.6056338028169015,1,0,0,0,1,0,0,0,0,0.553233830845771,0.35813524117239787,0,1,0,1,0,0,0,0,1,0
850,1,0,1,1,1.0,1,1,1,1,1,1,1,1,1,0.9706467661691541,0.975963535656589,0,1,0,0,0,1,1,0,0,0
1794,1,0,1,1,0.9859154929577465,1,1,1,1,1,1,1,1,0,0.7243781094527363,0.7240883914147243,1,0,0,0,0,1,0,0,0,1
1721,1,0,0,0,0.11267605633802817,1,0,1,0,0,0,0,0,1,0.5572139303482587,0.0716420493884145,0,1,0,1,0,0,0,1,0,0
2916,0,0,0,0,0.7042253521126761,0,0,1,0,0,1,0,1,1,0.2606965174129353,0.24956727440572354,1,0,0,1,0,0,0,1,0,0
6017,0,0,0,0,0.056338028169014086,1,0,0,0,1,1,0,0,0,0.3771144278606965,0.03146203554119548,1,0,0,1,0,0,0,0,1,0
6620,0,0,0,0,0.0,1,0,0,0,0,0,0,1,1,0.6223880597014925,0.007154396492037849,0,1,0,1,0,0,0,0,1,0
3758,1,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0.3114427860696517,0.0035483498730671586,1,0,0,1,0,0,1,0,0,0
1248,1,0,0,0,0.14084507042253522,1,1,0,0,0,1,1,0,0,0.7154228855721393,0.11183360258481423,0,1,0,1,0,0,0,0,1,0
4072,0,1,0,0,0.11267605633802817,1,0,0,0,0,0,0,1,1,0.6099502487562188,0.0807465958919917,0,1,0,1,0,0,0,0,1,0
3132,0,0,0,0,0.0,1,0,0,0,0,1,0,0,1,0.5577114427860697,0.006404338795291945,0,1,0,1,0,0,0,0,0,1
1372,0,0,0,0,0.3098591549295775,1,0,0,1,0,0,1,1,0,0.7666666666666666,0.25087699053773366,0,1,0,1,0,0,0,0,0,1
4343,1,1,0,0,0.09859154929577466,1,1,0,0,0,0,0,0,1,0.572139303482587,0.06778790676205862,0,1,0,1,0,0,0,0,1,0
2028,1,0,0,0,0.19718309859154928,1,0,0,0,0,0,0,0,0,0.013432835820895522,0.036095084237249025,0,0,1,0,0,1,0,0,0,1
2440,0,0,1,1,0.4366197183098592,1,0,0,0,0,0,0,0,1,0.011940298507462671,0.07566928225248096,0,0,1,1,0,0,0,1,0,0
6811,0,0,1,0,0.0,0,0,0,0,1,0,1,1,1,0.31940298507462683,0.0036406646665128085,1,0,0,1,0,0,0,0,1,0
6070,0,0,1,1,0.8450704225352113,1,1,0,0,1,1,1,1,1,0.6243781094527363,0.5720459266097392,1,0,0,0,0,1,1,0,0,0
4763,1,0,1,1,0.8028169014084507,1,0,0,1,1,0,1,0,1,0.7293532338308457,0.6338391414724209,0,1,0,1,0,0,0,0,1,0
1231,0,0,0,0,0.26760563380281693,1,0,1,0,1,0,0,1,0,0.4592039800995025,0.15921993999538425,1,0,0,1,0,0,0,1,0,0
725,0,1,1,0,0.11267605633802817,1,0,0,0,0,0,0,0,1,0.02985074626865672,0.021434341103161784,0,0,1,1,0,0,0,0,0,1
685,1,0,0,0,0.0,1,0,0,0,0,1,0,0,1,0.31492537313432833,0.0035887375951996307,1,0,0,1,0,0,0,0,1,0
3908,1,1,1,0,0.8309859154929577,1,1,1,1,1,1,1,1,1,0.9731343283582089,0.7970343872605584,0,1,0,0,0,1,1,0,0,0
3942,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0.24527363184079598,0.0027809831525501963,1,0,0,1,0,0,0,0,1,0
542,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.012935323383084563,8.654511885529664e-05,0,0,1,1,0,0,0,0,0,1
1919,0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0.3248756218905472,0.003704131087006693,1,0,0,1,0,0,0,0,0,1
249,0,0,0,0,0.5774647887323944,1,1,1,1,1,0,0,1,1,0.8034825870646766,0.4938437572120932,0,1,0,0,1,0,0,0,1,0
5715,0,0,0,0,0.4366197183098592,1,1,1,1,0,1,1,1,1,0.8945273631840797,0.3939649203784907,0,1,0,1,0,0,0,1,0,0
6148,1,0,0,0,0.9577464788732395,1,1,1,1,0,1,0,0,1,0.48407960199004973,0.5260904684975767,1,0,0,0,0,1,0,0,0,1
6576,1,0,0,0,0.014084507042253521,1,0,0,0,0,0,0,0,0,0.020398009950248763,0.002584814216478191,0,0,1,1,0,0,0,0,0,1
2652,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0.3711442786069651,0.004240710823909531,1,0,0,1,0,0,0,0,0,1
3363,0,0,1,0,0.7887323943661972,0,0,0,1,1,1,1,1,1,0.390547263681592,0.37469997692130164,1,0,0,0,0,1,1,0,0,0
6037,0,1,0,0,0.8732394366197184,1,1,1,1,1,0,1,1,1,0.9069651741293533,0.8092141703207939,0,1,0,1,0,0,1,0,0,0
2131,0,0,1,1,0.5774647887323944,0,0,1,0,1,1,1,0,0,0.2975124378109452,0.23234479575351952,1,0,0,0,0,1,0,1,0,0
4722,1,0,0,0,0.8309859154929577,1,0,0,1,1,1,1,0,1,0.5164179104477612,0.4853334871913224,1,0,0,0,1,0,0,1,0,0
2428,0,0,0,1,0.5211267605633804,1,1,0,0,1,0,1,1,1,0.8059701492537313,0.4336891299330718,0,1,0,1,0,0,1,0,0,0
6101,1,1,0,0,0.9577464788732395,1,1,1,0,1,1,1,1,0,0.9154228855721392,0.8595372720978537,0,1,0,0,0,1,0,1,0,0
4729,1,0,1,1,0.9577464788732395,0,0,0,1,1,0,1,1,1,0.3651741293532338,0.43315255019616894,1,0,0,0,0,1,0,1,0,0
2603,1,0,0,0,1.0,1,1,1,1,1,1,1,1,1,0.9616915422885571,0.9782944841910918,0,1,0,0,0,1,0,0,1,0
4093,1,0,0,0,0.3943661971830986,1,1,0,0,0,0,0,0,1,0.5746268656716418,0.2534560350796215,0,1,0,1,0,0,0,1,0,0
5726,1,0,1,1,0.647887323943662,1,0,0,0,0,0,0,0,1,0.03034825870646765,0.11804754211862452,0,0,1,0,0,1,1,0,0,0
4859,0,1,1,0,0.8732394366197184,1,1,1,1,1,0,1,1,0,0.8980099502487563,0.8046503577198245,0,1,0,0,0,1,0,1,0,0
4040,0,0,1,1,0.8169014084507042,0,0,1,0,1,0,0,0,0,0.16467661691542285,0.22634433417955227,1,0,0,0,1,0,0,0,0,1
5689,0,0,0,0,0.056338028169014086,1,0,0,1,0,0,0,0,1,0.5611940298507463,0.042101315485806604,0,1,0,1,0,0,0,0,1,0
6787,0,0,1,1,0.47887323943661975,1,1,0,1,1,1,1,1,1,0.9124378109452737,0.43429494576505884,0,1,0,1,0,0,0,0,1,0
4358,0,0,1,1,0.16901408450704225,1,0,0,0,0,0,1,1,1,0.4626865671641791,0.09907108239095316,1,0,0,0,1,0,0,0,1,0
5707,1,0,0,0,0.014084507042253521,1,0,0,0,0,0,0,0,0,0.2716417910447761,0.007569813062543273,1,0,0,1,0,0,0,0,1,0
6079,1,0,1,0,0.33802816901408456,1,1,0,1,0,0,0,0,0,0.3567164179104477,0.15626586660512348,1,0,0,1,0,0,0,0,1,0
6515,1,0,0,0,0.3943661971830986,0,0,0,0,0,0,0,0,1,0.0681592039800995,0.08008885298869145,1,0,0,1,0,0,0,1,0,0
4244,0,0,1,1,0.6338028169014085,1,0,0,0,0,0,0,0,0,0.014925373134328346,0.09666512808677591,0,0,1,0,0,1,0,1,0,0
1249,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.2666666666666666,0.003029079159935379,1,0,0,1,0,0,0,0,0,1
3485,0,0,0,0,0.014084507042253521,1,1,0,0,0,0,0,0,1,0.5472636815920398,0.012952919455342719,0,1,0,1,0,0,0,1,0,0
851,0,0,0,1,0.7183098591549296,1,1,1,1,0,1,1,1,1,0.6656716417910448,0.5126990537733672,1,0,0,0,0,1,0,0,0,1
2421,0,0,0,0,0.943661971830986,0,0,0,0,1,0,0,1,1,0.2154228855721393,0.32051119316870524,1,0,0,1,0,0,1,0,0,0
4704,0,0,0,0,0.0,1,1,1,1,0,0,0,0,0,0.426865671641791,0.004886914378029079,1,0,0,1,0,0,0,0,1,0
3613,0,1,0,0,0.7605633802816901,0,0,0,0,1,0,1,1,1,0.31641791044776113,0.31440687745211165,1,0,0,0,1,0,1,0,0,0
5676,0,0,1,1,0.0,1,0,0,0,0,0,0,0,0,0.014925373134328346,0.0001096238172167089,0,0,1,1,0,0,0,0,1,0
1072,0,0,0,0,0.295774647887324,0,0,0,0,1,1,1,1,0,0.3830845771144279,0.14840180013847218,1,0,0,0,0,1,1,0,0,0
4636,0,0,1,1,0.6056338028169015,1,0,0,0,0,0,0,0,0,0.01741293532338306,0.09716708977613664,0,0,1,0,1,0,1,0,0,0
1989,1,0,1,1,0.47887323943661975,0,0,1,0,0,1,1,0,1,0.2796019900497512,0.18962035541195477,1,0,0,0,0,1,0,1,0,0
457,1,0,1,1,0.4084507042253521,1,0,0,1,1,1,1,1,0,0.6223880597014925,0.2712324024924994,1,0,0,0,0,1,1,0,0,0
5388,0,0,1,1,0.0,1,0,0,0,0,0,0,0,0,0.01641791044776117,0.00012693284098776788,0,0,1,1,0,0,0,0,0,1
2553,0,1,0,0,0.014084507042253521,1,0,0,0,0,0,0,0,0,0.009452736318407956,0.002123240249249943,0,0,1,1,0,0,0,0,1,0
2295,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0.06865671641791044,0.0007327486729748439,1,0,0,1,0,0,0,0,1,0
1050,0,1,0,0,0.15492957746478872,0,0,0,0,1,1,0,1,1,0.2527363184079602,0.05863720286175861,1,0,0,1,0,0,0,0,1,0
5417,0,0,1,1,0.18309859154929578,1,0,1,1,0,0,0,1,1,0.4293532338308458,0.09193976459727672,1,0,0,0,0,1,1,0,0,0
5789,1,0,0,0,0.33802816901408456,1,0,0,0,0,0,0,0,0,0.015422885572139305,0.05266558966074314,0,0,1,0,0,1,0,1,0,0
2666,0,0,0,1,0.9154929577464789,1,0,0,1,1,1,1,1,1,0.6094527363184079,0.5974267251327026,1,0,0,0,0,1,0,1,0,0
2516,1,1,0,0,0.2112676056338028,1,1,0,0,0,0,1,1,1,0.7776119402985074,0.18029079159935382,0,1,0,1,0,0,0,0,1,0
5797,0,0,1,0,0.25352112676056343,1,1,1,1,0,1,0,0,1,0.7019900497512437,0.1908089083775675,0,1,0,1,0,0,0,1,0,0
4927,0,0,1,0,0.4084507042253521,1,0,0,0,0,0,0,0,0,0.007960199004975133,0.07139972305561966,0,0,1,0,0,1,0,0,0,1
5009,0,0,1,0,0.9154929577464789,1,1,1,1,1,1,1,1,0,0.9706467661691541,0.9143030233094853,0,1,0,0,1,0,1,0,0,0
5405,0,0,0,1,0.46478873239436624,1,1,1,1,0,0,1,1,1,0.8512437810945274,0.39833833371797833,0,1,0,0,1,0,0,0,1,0
3000,0,0,0,0,0.15492957746478872,1,1,0,0,0,0,1,0,1,0.6587064676616915,0.12009577659819987,0,1,0,1,0,0,0,0,1,0
888,0,0,1,1,0.5070422535211268,1,0,0,0,0,0,1,1,0,0.7258706467661692,0.3725767366720517,0,1,0,0,1,0,0,1,0,0
4482,1,0,0,0,0.08450704225352114,1,1,0,0,0,0,0,0,1,0.5636815920398011,0.06027579044541888,0,1,0,1,0,0,0,0,1,0
5673,0,0,0,0,0.04225352112676056,1,0,0,0,0,0,0,0,0,0.014427860696517386,0.011423955688899146,0,0,1,0,1,0,0,0,0,1
859,0,0,1,1,1.0,0,0,1,1,1,1,1,1,1,0.46318407960199004,0.5424590353104085,1,0,0,0,0,1,0,1,0,0
6821,1,0,0,0,0.23943661971830985,1,1,0,0,0,1,1,1,1,0.8119402985074626,0.20287906762058622,0,1,0,1,0,0,1,0,0,0
1723,1,0,1,1,0.07042253521126761,1,0,0,0,0,0,0,0,0,0.01840796019900498,0.00941033925686591,0,0,1,0,0,1,0,0,0,1
2071,1,0,1,1,0.9295774647887325,1,1,0,1,0,1,1,0,0,0.7547263681592039,0.7251327025155782,0,1,0,0,0,1,0,1,0,0
3125,0,0,0,0,0.04225352112676056,1,0,0,0,0,0,0,0,0,0.007462686567164173,0.006935148857604431,0,0,1,1,0,0,0,0,0,1
6122,1,0,0,0,0.22535211267605634,1,0,0,0,0,0,0,0,0,0.012935323383084563,0.03023886452804062,0,0,1,0,1,0,0,0,0,1
5428,1,0,1,0,0.11267605633802817,1,0,0,0,0,0,1,1,0,0.708457711442786,0.0962727902146319,0,1,0,1,0,0,0,0,1,0
30,1,1,1,0,0.9859154929577465,1,1,1,1,1,1,0,0,1,0.7771144278606964,0.778692591737826,0,1,0,0,0,1,0,1,0,0
5062,1,0,1,0,0.5352112676056339,0,0,1,0,1,0,1,1,0,0.3746268656716417,0.24989037618278329,1,0,0,1,0,0,0,0,1,0
835,0,1,1,1,0.8309859154929577,1,1,1,1,0,0,0,1,1,0.7462686567164178,0.6641760904684976,0,1,0,1,0,0,0,0,1,0
1503,1,1,0,0,0.619718309859155,1,1,0,0,1,0,1,1,1,0.8348258706467663,0.5442591737825987,0,1,0,0,1,0,1,0,0,0
6857,0,0,1,1,0.8028169014084507,1,0,0,1,0,0,1,1,1,0.7422885572139303,0.6099988460650819,0,1,0,1,0,0,0,0,1,0
4247,0,0,1,1,0.9577464788732395,1,0,1,1,0,1,1,1,1,0.8766169154228854,0.8357892914839603,0,1,0,0,0,1,0,1,0,0
6020,1,0,1,1,0.46478873239436624,0,0,1,0,1,1,1,1,0,0.4278606965174129,0.2278329102238634,1,0,0,0,1,0,0,0,0,1
3628,0,0,0,0,0.11267605633802817,1,0,1,0,1,1,1,0,1,0.5099502487562189,0.07321140087699055,1,0,0,1,0,0,0,0,0,1
818,0,0,1,0,0.28169014084507044,1,1,0,1,1,1,1,1,1,0.9248756218905473,0.26520886222017076,0,1,0,1,0,0,0,0,1,0
4074,0,1,1,0,0.8028169014084507,1,1,0,0,1,0,1,1,1,0.800497512437811,0.6685668128317563,0,1,0,1,0,0,0,0,1,0
5296,1,0,0,0,0.7887323943661972,0,0,1,0,1,1,0,0,1,0.227363184079602,0.2584179552273252,1,0,0,0,1,0,0,1,0,0
4274,0,0,0,0,0.619718309859155,1,0,0,0,0,0,0,0,0,0.005970149253731349,0.09791137779829218,0,0,1,0,1,0,1,0,0,0
2928,0,0,1,1,0.943661971830986,1,0,1,1,0,1,0,1,0,0.7646766169154228,0.7690514654973459,0,1,0,0,0,1,1,0,0,0
1490,1,1,1,0,0.9154929577464789,1,1,0,1,1,0,1,0,1,0.5233830845771144,0.5446630510039234,1,0,0,0,1,0,1,0,0,0
2865,1,0,1,1,0.9154929577464789,1,1,1,1,1,0,1,1,0,0.9054726368159204,0.8151050080775445,0,1,0,0,0,1,1,0,0,0
3259,1,0,0,0,0.07042253521126761,1,0,0,0,0,0,0,0,0,0.5203980099502488,0.04790560812370183,0,1,0,1,0,0,0,1,0,0
2619,1,1,0,0,0.4507042253521127,1,1,0,1,1,1,1,1,1,0.9174129353233832,0.4196457419801523,0,1,0,1,0,0,0,0,1,0
3756,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0.061691542288557194,0.0006519732287099005,1,0,0,1,0,0,0,0,0,1
470,1,1,0,0,0.22535211267605634,1,0,0,0,0,0,0,0,0,0.023880597014925342,0.03597969074544197,0,0,1,0,1,0,0,0,0,1
4147,0,1,1,0,0.9859154929577465,1,1,0,0,0,0,0,0,0,0.06567164179104479,0.21719363027925226,0,0,1,0,0,1,1,0,0,0
3449,1,0,1,1,0.7183098591549296,1,1,0,1,1,0,1,0,1,0.7706467661691543,0.5720459266097392,0,1,0,0,1,0,0,1,0,0
2014,0,0,1,1,0.16901408450704225,1,0,0,1,1,1,0,0,0,0.43333333333333324,0.08438726055850451,1,0,0,1,0,0,1,0,0,0
6080,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0.11393034825870646,0.0012577890606969766,1,0,0,1,0,0,0,0,0,1
5451,1,0,1,0,0.9859154929577465,1,1,1,1,0,0,1,0,0,0.7701492537313434,0.7890780060004615,0,1,0,0,1,0,0,0,0,1
4900,0,1,1,0,0.5070422535211268,1,1,0,0,0,0,1,0,1,0.6711442786069651,0.36376067389799216,0,1,0,1,0,0,0,0,1,0
1291,0,0,1,0,0.09859154929577466,1,0,1,0,0,0,0,0,0,0.5646766169154228,0.07086891299330719,0,1,0,1,0,0,0,0,1,0
527,0,0,1,1,0.8028169014084507,1,1,0,1,0,1,1,0,1,0.7606965174129353,0.6244576505885069,0,1,0,0,1,0,0,1,0,0
5647,1,0,1,0,0.6338028169014085,1,0,0,1,0,0,1,1,1,0.5059701492537313,0.3633971843987999,1,0,0,1,0,0,0,1,0,0
1716,0,0,0,0,0.09859154929577466,1,0,0,0,0,0,0,1,1,0.36318407960199006,0.04837872144011078,1,0,0,1,0,0,0,1,0,0
3729,0,0,0,0,0.8591549295774649,1,0,0,0,0,0,0,0,1,0.01791044776119402,0.1364931917839834,0,0,1,0,0,1,0,1,0,0
5380,0,0,0,0,0.014084507042253521,1,0,0,0,0,0,1,0,1,0.6169154228855721,0.014510731594738056,0,1,0,1,0,0,0,0,1,0
421,1,0,0,0,0.08450704225352114,1,0,0,0,0,0,0,0,1,0.5134328358208955,0.05731017770597739,0,1,0,1,0,0,1,0,0,0
4757,0,0,0,0,0.0,1,1,0,1,0,1,0,0,0,0.4164179104477612,0.004765751211631664,1,0,0,1,0,0,0,0,0,1
4282,1,0,1,1,0.7183098591549296,1,1,0,0,1,0,1,1,0,0.8258706467661691,0.6095430417724441,0,1,0,0,1,0,1,0,0,0
73,0,0,1,1,0.8591549295774649,1,1,0,0,0,0,0,0,1,0.05970149253731341,0.16222017078236786,0,0,1,0,0,1,1,0,0,0
2599,1,0,0,0,1.0,1,0,1,1,1,1,0,1,1,0.5447761194029851,0.6054004154165705,1,0,0,0,0,1,0,1,0,0
6496,0,1,1,0,0.5492957746478874,1,1,1,0,0,0,1,1,0,0.8318407960199005,0.46936302792522505,0,1,0,1,0,0,0,0,1,0
5593,0,0,1,0,0.4225352112676057,1,0,1,1,1,1,0,1,1,0.5696517412935324,0.27759635356565887,1,0,0,0,1,0,0,1,0,0
3217,1,0,0,0,0.014084507042253521,1,0,0,0,0,0,0,0,1,0.021890547263681587,0.0027290560812370185,0,0,1,1,0,0,0,0,0,1
3801,1,1,0,0,0.23943661971830985,1,1,0,1,0,1,0,0,1,0.6686567164179105,0.17159589199169167,0,1,0,1,0,0,0,0,1,0
6199,0,1,0,0,0.5915492957746479,1,0,0,0,0,0,1,1,1,0.7094527363184079,0.4428744518809139,0,1,0,1,0,0,0,0,0,1
1491,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.012935323383084563,8.654511885529664e-05,0,0,1,1,0,0,0,0,0,1
336,1,0,0,0,0.5915492957746479,1,1,0,1,1,0,1,1,1,0.8592039800995025,0.5470863143318717,0,1,0,0,0,1,0,0,1,0
771,0,0,0,0,0.19718309859154928,1,1,0,0,0,0,1,1,1,0.7472636815920397,0.1645338102930995,0,1,0,1,0,0,0,0,1,0
490,0,0,1,1,0.8732394366197184,1,1,0,1,1,0,1,1,1,0.8611940298507462,0.7591103161781676,0,1,0,0,0,1,1,0,0,0
1243,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.2691542288557213,0.0030579275328871443,1,0,0,1,0,0,0,0,1,0
4919,0,0,1,0,0.971830985915493,0,0,1,0,1,1,0,0,1,0.2079601990049751,0.3085564274174936,1,0,0,0,0,1,0,1,0,0
2048,0,1,0,0,0.28169014084507044,1,0,0,0,1,0,1,1,1,0.781592039800995,0.23211400876990537,0,1,0,1,0,0,1,0,0,0
5077,1,0,1,1,0.08450704225352114,1,0,0,0,0,0,0,0,0,0.015920398009950265,0.014464574198015234,0,0,1,0,0,1,0,0,0,1
4532,1,0,0,0,0.19718309859154928,1,1,0,1,0,0,0,0,1,0.6119402985074627,0.1261308562197092,0,1,0,1,0,0,0,0,1,0
4194,1,0,1,0,0.9859154929577465,1,1,0,0,0,0,0,0,1,0.07661691542288557,0.20575813524117242,0,0,1,0,0,1,0,1,0,0
4671,1,0,0,0,0.33802816901408456,1,1,0,1,0,0,1,1,1,0.8159203980099502,0.2733614124163397,0,1,0,1,0,0,0,0,1,0
4602,1,0,0,0,0.9295774647887325,1,1,0,0,0,0,0,0,1,0.07810945273631842,0.20087122086314332,0,0,1,0,0,1,0,0,0,1
2799,0,0,0,1,0.7605633802816901,1,0,0,0,0,0,0,0,0,0.008457711442786064,0.11339718439879992,0,0,1,0,1,0,1,0,0,0
4711,0,0,0,0,0.4366197183098592,1,0,0,0,0,0,0,0,0,0.015422885572139305,0.06795522732517888,0,0,1,0,1,0,0,0,0,1
6383,0,0,0,1,0.3098591549295775,0,0,1,0,1,1,0,0,0,0.21741293532338307,0.09680936995153475,1,0,0,0,0,1,0,0,0,1
1707,1,1,0,0,0.02816901408450704,1,0,0,0,1,0,0,0,0,0.553233830845771,0.020493884144934225,0,1,0,1,0,0,0,0,1,0
2656,1,0,0,0,0.5352112676056339,1,0,0,0,0,1,0,1,0,0.408457711442786,0.2527521347795984,1,0,0,0,1,0,0,0,1,0
399,1,0,1,1,0.3098591549295775,1,0,0,0,0,0,0,0,0,0.01791044776119402,0.04573044080313871,0,0,1,0,1,0,0,0,0,1
1311,0,0,1,1,0.5774647887323944,0,0,0,1,1,0,0,1,1,0.2671641791044776,0.23427763674128782,1,0,0,0,1,0,0,1,0,0
6582,1,0,0,0,0.9859154929577465,1,1,1,1,1,0,1,1,1,0.8805970149253731,0.8382702515578122,0,1,0,0,0,1,0,1,0,0
3129,0,0,1,0,0.971830985915493,1,1,0,1,1,0,1,0,1,0.763681592039801,0.7597622894068774,0,1,0,0,1,0,1,0,0,0
4734,0,0,1,1,0.5352112676056339,1,0,1,0,1,1,1,1,0,0.6144278606965173,0.36512231710131543,1,0,0,0,1,0,0,1,0,0
5194,0,0,0,1,0.295774647887324,1,0,0,1,1,0,1,0,1,0.7079601990049752,0.228790676205862,0,1,0,1,0,0,0,0,1,0
5713,0,1,0,0,0.676056338028169,1,1,1,1,1,1,0,1,0,0.6278606965174128,0.46643203323332566,1,0,0,0,0,1,0,1,0,0
757,1,0,0,0,0.02816901408450704,1,0,0,0,0,0,0,0,0,0.015920398009950265,0.004431110085391184,0,0,1,1,0,0,0,0,0,1
5217,1,0,0,0,0.1267605633802817,1,1,0,0,0,0,0,0,1,0.062189054726368154,0.02900415416570505,0,0,1,1,0,0,0,0,0,1
6849,0,0,1,1,0.4084507042253521,1,1,0,1,0,1,0,0,1,0.6497512437810945,0.29441495499653814,0,1,0,1,0,0,1,0,0,0
4394,0,0,0,0,0.25352112676056343,1,1,0,0,1,1,0,0,0,0.41094527363184075,0.12990999307639048,1,0,0,1,0,0,0,0,1,0
2286,0,1,1,0,0.09859154929577466,1,0,0,0,1,1,0,1,1,0.4592039800995025,0.06495499653819525,1,0,0,1,0,0,0,1,0,0
4385,0,0,0,0,0.28169014084507044,1,0,0,0,0,0,0,0,1,0.020895522388059695,0.04660743134087238,0,0,1,0,1,0,0,0,0,1
2706,0,0,1,0,0.014084507042253521,1,0,0,0,1,0,0,0,0,0.5786069651741294,0.015347334410339256,0,1,0,1,0,0,0,0,1,0
1957,1,0,1,0,0.6338028169014085,1,1,1,0,0,0,0,0,0,0.34676616915422886,0.28167551350103853,1,0,0,1,0,0,0,0,1,0
6444,0,0,0,1,0.4225352112676057,1,1,0,1,0,1,1,1,1,0.608955223880597,0.29643434110316175,1,0,0,0,1,0,0,0,0,1
5130,0,0,0,0,0.09859154929577466,0,0,1,0,0,0,0,0,1,0.1213930348258706,0.02396145857373644,1,0,0,1,0,0,0,0,1,0
6587,0,1,0,0,0.8873239436619719,1,1,1,1,0,0,1,1,1,0.8482587064676618,0.7535021924763443,0,1,0,1,0,0,1,0,0,0
339,0,0,1,0,0.8732394366197184,1,1,0,1,1,0,1,1,1,0.8472636815920399,0.7597738287560581,0,1,0,1,0,0,0,0,1,0
2532,1,1,0,0,0.5633802816901409,1,0,0,0,1,1,1,1,1,0.8243781094527362,0.4612739441495499,0,1,0,0,1,0,1,0,0,0
3633,1,1,0,0,0.0,1,0,0,0,0,0,0,0,1,0.5273631840796019,0.006052388645280407,0,1,0,1,0,0,0,0,1,0
3788,0,0,1,0,0.7464788732394366,1,0,1,1,1,1,1,1,0,0.9104477611940299,0.702907915993538,0,1,0,0,0,1,1,0,0,0
6577,0,0,1,0,0.971830985915493,1,1,0,1,1,1,1,0,0,0.5442786069651742,0.605440803138703,1,0,0,0,0,1,1,0,0,0
1296,1,1,0,0,0.26760563380281693,1,0,0,0,0,0,1,0,0,0.6213930348258706,0.18409877682898687,0,1,0,1,0,0,1,0,0,0
1280,1,1,1,0,1.0,1,1,1,1,1,1,1,1,1,0.9611940298507461,0.9576678975305793,0,1,0,0,0,1,1,0,0,0
4955,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.5089552238805971,0.005838910685437342,0,1,0,1,0,0,0,0,0,1
6631,0,0,1,0,0.33802816901408456,1,1,0,0,1,0,0,0,0,0.3711442786069651,0.15999307639049157,1,0,0,1,0,0,0,1,0,0
3248,0,1,1,0,0.1267605633802817,1,1,0,0,0,0,0,1,1,0.6805970149253732,0.09668243711054697,0,1,0,1,0,0,0,0,1,0
5766,1,0,1,0,0.3098591549295775,1,0,0,0,0,1,1,0,0,0.41542288557213924,0.15328294484191093,1,0,0,0,1,0,1,0,0,0
3299,0,0,0,0,0.943661971830986,1,1,1,1,1,1,1,1,1,0.9845771144278607,0.9251269328409878,0,1,0,0,1,0,0,1,0,0
574,1,1,1,0,0.3802816901408451,1,1,0,1,1,1,1,1,1,0.9213930348258706,0.36759750750057696,0,1,0,1,0,0,0,0,1,0
4938,0,0,1,1,0.22535211267605634,1,0,1,0,1,0,1,0,1,0.7079601990049752,0.17547311331640897,0,1,0,1,0,0,0,0,1,0
4450,0,0,0,0,0.19718309859154928,1,1,0,1,0,1,0,0,1,0.4014925373134328,0.10626586660512348,1,0,0,1,0,0,0,1,0,0
5852,0,1,1,0,0.28169014084507044,1,0,0,0,0,0,0,0,1,0.5059701492537313,0.16800715439649205,0,1,0,1,0,0,0,0,1,0
7013,1,0,0,0,0.5492957746478874,1,1,0,1,1,0,1,0,1,0.7477611940298508,0.43129471497807526,0,1,0,1,0,0,1,0,0,0
4810,1,1,0,0,0.19718309859154928,1,1,0,1,0,0,0,1,0,0.7124378109452736,0.16226055850450036,0,1,0,1,0,0,0,0,1,0
1012,0,0,0,0,0.11267605633802817,1,0,0,0,0,1,1,1,1,0.772636815920398,0.09331294714978076,0,1,0,1,0,0,1,0,0,0
2962,1,0,1,1,0.02816901408450704,0,0,0,0,0,1,0,0,1,0.12686567164179102,0.008798753750288484,1,0,0,1,0,0,0,0,0,1
2572,1,0,1,0,0.9859154929577465,1,1,0,0,0,0,0,0,0,0.06716417910447761,0.20011539349180707,0,0,1,0,0,1,1,0,0,0
4103,0,0,1,1,1.0,1,1,0,0,1,0,0,1,1,0.7218905472636815,0.7492499423032541,0,1,0,0,0,1,0,1,0,0
5460,0,0,1,0,0.46478873239436624,1,0,0,0,0,0,0,0,0,0.01791044776119402,0.07618278329102239,0,0,1,0,0,1,0,1,0,0
